FID,DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
935,86,569,PUERTO CAICEDO,2011,5,0.685064178705000,-76.604517817200005,86569,86569.000000000000000,13239.000000000000000,1721.000000000000000,2429.000000000000000,17389.000000000000000
936,86,571,PUERTO GUZMÁN,2011,5,0.963535947743000,-76.408021749000000,86571,86571.000000000000000,29482.000000000000000,1297.000000000000000,2379.000000000000000,33158.000000000000000
937,86,749,SIBUNDOY,2011,5,1.203158372530000,-76.920995108800000,86749,86749.000000000000000,858.000000000000000,6015.000000000000000,186.000000000000000,7059.000000000000000
938,86,755,SAN FRANCISCO,2011,5,1.176740264760000,-76.875892027999996,86755,86755.000000000000000,568.000000000000000,1132.000000000000000,460.000000000000000,2160.000000000000000
939,86,885,VILLAGARZÓN,2011,5,1.030863064140000,-76.614658266500001,86885,86885.000000000000000,11093.000000000000000,5761.000000000000000,2772.000000000000000,19626.000000000000000
940,86,573,PUERTO LEGUÍZAMO,2011,5,-0.184973168284000,-74.783669947500002,86573,86573.000000000000000,12076.000000000000000,4056.000000000000000,2991.000000000000000,19123.000000000000000
941,86,865,LA HORMIGA,2011,5,0.423385052504000,-76.904733753100004,86865,86865.000000000000000,36293.000000000000000,3725.000000000000000,9174.000000000000000,49192.000000000000000
942,88,564,PROVIDENCIA,2012,5,13.370124216100001,-81.370909140999998,88564,88564.000000000000000,9.000000000000000,5.000000000000000,5.000000000000000,19.000000000000000
943,91,001,LETICIA,2006,5,-4.212800601740000,-69.939712159500004,91001,91001.000000000000000,823.000000000000000,1970.000000000000000,49.000000000000000,2842.000000000000000
944,91,405,LA CHORRERA,2011,5,-1.443694650970000,-72.789231269799998,91405,91405.000000000000000,129.000000000000000,23.000000000000000,2.000000000000000,154.000000000000000
945,91,407,LA PEDRERA,2011,5,-1.322461494100000,-69.578424875600007,91407,91407.000000000000000,106.000000000000000,4.000000000000000,20.000000000000000,130.000000000000000
946,91,540,PUERTO NARIÑO,2011,5,-3.789916302650000,-70.356480139300004,91540,91540.000000000000000,40.000000000000000,24.000000000000000,4.000000000000000,68.000000000000000
947,91,669,PUERTO SANTANDER,2011,5,-0.622297755787000,-72.383274454000002,91669,91669.000000000000000,332.000000000000000,2.000000000000000,7.000000000000000,341.000000000000000
948,91,798,TARAPACÁ,2011,5,-2.891380691790000,-69.741651894200004,91798,91798.000000000000000,100.000000000000000,27.000000000000000,24.000000000000000,151.000000000000000
949,94,001,INÍRIDA,2012,5,3.864698820920000,-67.917962587700003,94001,94001.000000000000000,1095.000000000000000,6312.000000000000000,1946.000000000000000,9353.000000000000000
950,94,883,SAN FELIPE,1993,5,1.911797408940000,-67.065952130200003,94883,94883.000000000000000,178.000000000000000,3.000000000000000,1.000000000000000,182.000000000000000
951,94,343,BARRANCO MINAS,2011,5,3.494340672550000,-69.815067975999995,94343,94343.000000000000000,2715.000000000000000,80.000000000000000,33.000000000000000,2828.000000000000000
952,95,001,SAN JOSÉ DEL GUAVIARE,2008,5,2.567205359150000,-72.639690137399995,95001,95001.000000000000000,26213.000000000000000,13655.000000000000000,21248.000000000000000,61116.000000000000000
953,95,015,CALAMAR,2011,5,1.958585837730000,-72.654959511599998,95015,95015.000000000000000,7866.000000000000000,678.000000000000000,834.000000000000000,9378.000000000000000
954,95,025,EL RETORNO,2011,5,2.330797197340000,-72.627970788400006,95025,95025.000000000000000,11345.000000000000000,488.000000000000000,1327.000000000000000,13160.000000000000000
955,95,200,MIRAFLORES,2011,5,1.336791729950000,-71.951260308200006,95200,95200.000000000000000,11685.000000000000000,159.000000000000000,624.000000000000000,12468.000000000000000
956,97,001,MITÚ,2012,5,1.251142679220000,-70.234986307900002,97001,97001.000000000000000,3457.000000000000000,992.000000000000000,4209.000000000000000,8658.000000000000000
957,97,161,CARURÚ,2011,5,1.012088146250000,-71.295842835200006,97161,97161.000000000000000,1323.000000000000000,50.000000000000000,300.000000000000000,1673.000000000000000
958,97,666,TARAIRA,2011,5,-0.564700181753000,-69.634053750299998,97666,97666.000000000000000,85.000000000000000,25.000000000000000,9.000000000000000,119.000000000000000
959,99,001,PUERTO CARREÑO,2012,5,6.187035355060000,-67.487229209099993,99001,99001.000000000000000,1768.000000000000000,3526.000000000000000,229.000000000000000,5523.000000000000000
960,99,773,CUMARIBO,2011,5,4.444487622050000,-69.798542668300001,99773,99773.000000000000000,14375.000000000000000,351.000000000000000,1209.000000000000000,15935.000000000000000
961,99,524,LA PRIMAVERA,2011,5,5.491205215610000,-70.413009431500001,99524,99524.000000000000000,1831.000000000000000,980.000000000000000,373.000000000000000,3184.000000000000000
962,99,624,SANTA ROSALÍA,2011,5,5.131103593900000,-70.863710818000001,99624,99624.000000000000000,712.000000000000000,188.000000000000000,45.000000000000000,945.000000000000000
963,63,470,MONTENEGRO,2012,"5

",4.562970356590000,-75.750808620000001,63470,63470.000000000000000,698.000000000000000,5206.000000000000000,16.000000000000000,5920.000000000000000
964,15,522,PANQUEBA,2011,5,6.443295613520000,-72.459120717100006,15522,15522.000000000000000,75.000000000000000,0.000000000000000,2.000000000000000,77.000000000000000
965,68,468,MOLAGAVITA,2011,5,6.673845509960000,-72.809031676000004,68468,68468.000000000000000,489.000000000000000,0.000000000000000,5.000000000000000,494.000000000000000
966,91,536,PUERTO ARICA,2011,5,-2.149548073620000,-71.754631049599993,91536,91536.000000000000000,143.000000000000000,0.000000000000000,11.000000000000000,154.000000000000000
967,05,264,ENTRERRÍOS,2011,5,6.566650049210000,-75.517154846500006,05264,5264.000000000000000,194.000000000000000,333.000000000000000,0.000000000000000,527.000000000000000
968,05,631,SABANETA,2011,5,6.150885453090000,-75.615298130900001,05631,5631.000000000000000,284.000000000000000,2136.000000000000000,0.000000000000000,2420.000000000000000
