ID	NAME	LATITUDE	LONGITUDE	DISPLACED	REFUGEES	IDPS	TOTAL_IMPACT	POPULATION
54720	SARDINATA	8.084233658	-72.80006112	10204	1708	3810	15722	22733
27150	CURBARADÓ	7.157413024	-76.97187683	10911	288	4515	15714	5111
5873	VIGÍA DEL FUERTE	6.588794113	-76.89634759	12087	1816	1737	15640	5487
76233	DAGUA	3.657393501	-76.68917476	5781	4685	5112	15578	35270
20178	CHIRIGUANÁ	9.36137942	-73.60091321	7772	3813	3804	15389	22146
19821	TORIBÍO	2.953701969	-76.27049302	6842	1867	6667	15376	26512
5495	NECHÍ	8.088078176	-74.77679927	8178	3673	3512	15363	20668
27077	PIZARRO	4.953515249	-77.36599158	5498	1858	7992	15348	16375
76520	PALMIRA	3.532937093	-76.29821568	3911	9368	1754	15033	284470
27073	BAGADÓ	5.411715421	-76.41596027	8975	401	5633	15009	8454
18756	SOLANO	0.6991611935	-75.2533439	13278	619	1017	14914	19427
52786	TAMINANGO	1.570127638	-77.28072792	1794	12765	254	14813	17218
5040	ANORÍ	7.078008333	-75.1483999	7647	507	6559	14713	15016
8433	MALAMBO	10.85759676	-74.77515839	975	13682	30	14687	101280
