,ID,NAME,LATITUDE,LONGITUDE,DISPLACED,REFUGEES,IDPS,TOTAL_IMPACT,POPULATION
29,47288,FUNDACIÓN,10.5148511979,-74.1915550127,33249.0,25931.0,19134.0,79647.0,64818.0
30,13430,MAGANGUÉ,9.24136746688,-74.7556678558,16159.0,57249.0,3223.0,76961.0,127471.0
31,08758,SOLEDAD,10.9061797919,-74.7935670007,3193.0,72936.0,401.0,76818.0,535639.0
32,05490,NECOCLÍ,8.42602528084,-76.7876212535,41519.0,22417.0,9874.0,73956.0,38420.0
33,86568,PUERTO ASÍS,0.504218750718,-76.4978366717,34381.0,18441.0,18564.0,73537.0,55919.0
34,05088,BELLO,6.33378556234,-75.5544475762,10473.0,60349.0,1982.0,72840.0,477660.0
35,66001,PEREIRA,4.80700196952,-75.7182670472,4783.0,64848.0,1101.0,72393.0,406722.0
36,95001,SAN JOSÉ DEL GUAVIARE,2.56720535915,-72.6396901374,30813.0,16208.0,23120.0,72355.0,45051.0
37,23466,MONTELÍBANO,7.97792222738,-75.4184835961,30589.0,18298.0,22279.0,72046.0,71772.0
38,81794,TAME,6.45769174666,-71.7406131926,39118.0,6915.0,20493.0,68631.0,39855.0
39,25754,SOACHA,4.57652885514,-74.2155110974,3411.0,62896.0,713.0,68106.0,644768.0
40,54498,OCAÑA,8.24666636475,-73.3551957158,10593.0,49150.0,3767.0,65115.0,110671.0
41,23580,PUERTO LIBERTADOR,7.88927921392,-75.672022287,23880.0,9072.0,30492.0,64334.0,35303.0
42,47189,CIÉNAGA,11.0074328252,-74.2413680716,42067.0,11986.0,8756.0,64132.0,118259.0
43,70713,SAN ONOFRE,9.73682100005,-75.5255622913,34057.0,3627.0,24272.0,63859.0,47952.0
44,86865,LA HORMIGA,0.423385052504,-76.9047337531,42523.0,5354.0,11432.0,61476.0,27150.0
45,18753,SAN VICENTE DEL CAGUÁN,2.11341773815,-74.7719596917,49376.0,4596.0,6644.0,61328.0,40794.0
46,05480,MUTATÁ,7.24396317282,-76.4367046955,31155.0,13723.0,15906.0,60926.0,12602.0
47,20013,AGUSTÍN CODAZZI,10.0403645547,-73.2374314487,29729.0,10271.0,19784.0,60592.0,58475.0
48,17662,SAMANÁ,5.41307433341,-74.9923802605,31535.0,4583.0,23251.0,60045.0,17424.0
49,05790,TARAZÁ,7.58161135294,-75.3997109965,39905.0,8726.0,10432.0,59279.0,22729.0
50,05154,CAUCASIA,7.97776036996,-75.1985143435,28655.0,22911.0,6673.0,58307.0,84459.0
51,05250,EL BAGRE,7.59295465235,-74.804710426,36216.0,5377.0,16130.0,57811.0,47549.0
52,70508,OVEJAS,9.52598596405,-75.2288076869,35345.0,2517.0,17883.0,57636.0,22384.0
53,52250,EL CHARCO,2.47697407881,-78.1102980565,21575.0,1612.0,31621.0,56269.0,21071.0
54,13670,SAN PABLO,7.47747543639,-73.9245578327,25955.0,10091.0,19637.0,56049.0,24520.0
